Question ID,Question Choices,Question Answers,Question Time,Hints Allowed,Hints,Solution
1,A bowl contains 4 candies and 3 cockroaches. Items are drawn one at a time and drawn cockroaches are thrown on the floor (not replaced). Let X be the draw on which the first candy is picked. Find p(1)=P(X=1).,4/7|0.5714285714|0.5714,45,Y,A candy on the first draw means 1 of the 4 candies out of 7 objects;Divide favourable objects by total objects,On the first draw there are $4$ candies among $4+3=7$ objects.;So $p(1)=P(X=1)=\frac{4}{4+3}=\frac{4}{7}$.
2,A bowl contains 4 candies and 3 cockroaches. Items are drawn one at a time and drawn cockroaches are thrown on the floor (not replaced). Let X be the draw on which the first candy is picked. Find p(2)=P(X=2).,2/7|0.2857142857|0.2857,60,Y,"X=2 means cockroach first, then candy;After a cockroach is removed only 6 objects remain;Multiply the two probabilities","$X=2$ means a cockroach first, then a candy.;The first draw is a cockroach with probability $\frac{3}{4+3}=\frac{3}{7}$; then $4$ candies remain among $6$ objects.;So $p(2)=\frac{3}{7}\cdot\frac{4}{6}=\frac{12}{42}=\frac{2}{7}$."
3,A bowl contains 4 candies and 3 cockroaches. Items are drawn one at a time and drawn cockroaches are thrown on the floor (not replaced). Let X be the draw on which the first candy is picked. Find p(3)=P(X=3).,4/35|0.1142857143|0.1143,75,Y,"X=3 means cockroach, cockroach, then candy;The denominators shrink by one each draw: 7, 6, 5;Numerators are 3 cockroaches, then 2 cockroaches, then 4 candies","$X=3$ means cockroach, cockroach, candy.;$p(3)=\frac{3}{7}\cdot\frac{2}{6}\cdot\frac{4}{5}$.;Multiplying, $p(3)=\frac{24}{210}=\frac{4}{35}$."
4,A bowl contains 4 candies and 3 cockroaches. Items are drawn one at a time and drawn cockroaches are thrown on the floor (not replaced). Let X be the draw on which the first candy is picked. Find p(4)=P(X=4).,1/35|0.0285714286|0.0286,75,Y,"X=4 means all three cockroaches are drawn first, then a candy;After the three cockroaches are gone only candies remain;The last factor is 4/4=1","$X=4$ means cockroach, cockroach, cockroach, candy.;$p(4)=\frac{3}{7}\cdot\frac{2}{6}\cdot\frac{1}{5}\cdot\frac{4}{4}$.;Multiplying, $p(4)=\frac{24}{840}=\frac{1}{35}$."
5,A bowl contains 4 candies and 3 cockroaches. Items are drawn one at a time and drawn cockroaches are thrown on the floor (not replaced). Let X be the draw on which the first candy is picked. Compute the sum p(1)+p(2)+p(3)+p(4).,1,60,Y,"Use p(1)=4/7, p(2)=2/7, p(3)=4/35, p(4)=1/35;Write every fraction with denominator 35","$p(1)+p(2)+p(3)+p(4)=\frac{20}{35}+\frac{10}{35}+\frac{4}{35}+\frac{1}{35}$.;The sum is $\frac{35}{35}=1$, as it must be for a probability mass function."
6,A bowl contains 4 candies and 3 cockroaches. Items are drawn one at a time and drawn cockroaches are thrown on the floor (not replaced). Let X be the draw on which the first candy is picked. What is the largest possible value of X?,4,45,Y,There are only 3 cockroaches;At worst all cockroaches are drawn before the first candy,"At most $3$ cockroaches can be drawn before a candy appears.;So the first candy must appear by draw $3+1=4$, and $X$ is at most $4$."
7,"A function p is given by the table k: 0, 1, 2, 3, 4 and p(k): 2/14, 4/7, 1/7, 1/14, 1/14. Is p a probability mass function? Answer yes or no.",yes|Yes,60,Y,Check that every value is at least 0;Check that the values add to 1;Write 4/7 as 8/14 and 1/7 as 2/14,"Every value is $\ge 0$.;The sum is $\frac{2}{14}+\frac{8}{14}+\frac{2}{14}+\frac{1}{14}+\frac{1}{14}=\frac{14}{14}=1$.;Both conditions hold, so $p$ is a probability mass function."
8,"The table k: 1, 2, 3, 4 and p(k): 0.1, 0.25, ?, 0.35 is a probability mass function. Find the missing value p(3).",3/10|0.3,60,Y,The values of a pmf add to 1;Subtract the known values from 1,"Since $\sum_k p(k)=1$, $p(3)=1-(0.1+0.25+0.35)$.;So $p(3)=1-0.7=0.3$."
9,"Suppose p(k)=c·k for k=1, 2, 3, 4 (and p(k)=0 otherwise) is a probability mass function. Find the constant c.",1/10|0.1,75,Y,Add p(1)+p(2)+p(3)+p(4) in terms of c;Set the sum equal to 1,$p(1)+p(2)+p(3)+p(4)=c(1+2+3+4)=10c$.;Setting $10c=1$ gives $c=\frac{1}{10}$.
10,A bowl contains 1 candy and 4 cockroaches. Drawn cockroaches are not replaced. Let X be the draw on which the candy is picked. Find p(3)=P(X=3).,1/5|0.2,75,Y,"X=3 means cockroach, cockroach, candy;Denominators are 5, then 4, then 3","$p(3)=\frac{4}{5}\cdot\frac{3}{4}\cdot\frac{1}{3}$.;Multiplying, $p(3)=\frac{12}{60}=\frac{1}{5}$."
