Question ID,Question Choices,Question Answers,Question Time,Hints Allowed,Hints,Solution
1,Compute 4!,24,600,N,,24. 4!=4×3×2×1=24
2,Compute 6!/(3!×3!),20,600,N,,20.We have 6×5×4×3×2×1/(3×2×1×3×2×1)= 6×5×4/(3×2×1)= 5×4=20
3,Find the value of ϕ(7)!. ,720,600,N,," 720. First find ϕ(7). Since 7 is prime, ϕ(7)=7−1=6. Now compute the factorial: 6!=6×5×4×3×2×1=720"
4, Calculate ϕ(4)!(mod7).,2,600,N,," 2. First, ϕ(4)=2, 2!=2 and 2≡2(mod7)"
5,Compute ϕ(5!).,32,600,Y,If a and b are coprime then ϕ(ab)= ϕ(a) ϕ(b),"32. First evaluate the interior factorial: 5!=120. Now find ϕ(120). The prime factorization of 120 is 2^3×3×5.  ϕ(3×5)=8 and {1,3,5,7} are coprime with 8 so ϕ(8)=4 so ϕ(120)=8×4​=32"
6,"Find the modular inverse of 3(mod7), written as 3−1(mod7).",5,600,N,,"5. We need an integer x such that 3x≡1(mod7). Testing small multiples: 3×5=15. Since 15~1(mod7), we have: 3^-1≡5(mod7)."
7, Compute the modular inverse of ϕ(5) (mod9).,7,600,N,,"7. First, calculate ϕ(5)=4. Now find 4^-1(mod9). We set up the equation 4x~1(mod9). Testing multiples: 4×7=28. Since 28=(3×9)+1, 28~1(mod9),4^-1~7(mod9)"
8,Compute the modular inverse of ϕ(9)(mod5).,1,600,N,,"1. First, calculate ϕ(9). Since 9=3^2, ϕ(9)=3×(3−1)=6. We want to find 6^-1(mod5). First, simplify the base modulo 5: 6~1(mod5). The modular inverse of 1(mod5) is simply 1. ϕ(9)^-1~1(mod5)"
9,Find the modular inverse of ϕ(7)! (mod11).,9,600,N,, 9. ϕ(7)=6  so ϕ(7)!= 6!=720 (mod11)=5. We want 5x~1(mod11). Testing values: 5×9=45. Since 45=(4×11)+1≡1(mod11): (ϕ(7)!)^-1≡9(mod11)
10,Determine the modular inverse of ϕ(15)!(mod11). ,9,600,Y,3×4=2×6~1(mod  11)," 9. Calculate ϕ(15). 15=3×5, so ϕ(15)=(3−1)(5−1)=8. Find 8!~8×7×5 (mod11) ~ 8×2 (mod11)  ~ 5 (mod11). Hence, (ϕ(15)!)^-1~5^-1(mod11)~9(mod11)"
