Question ID,Question Choices,Question Answers,Question Time,Hints Allowed,Hints,Solution
1,Four distinguishable blocks are stacked in one box. How many different stacks are possible?,24|4!,45,Y,"Choose the bottom block, then the next block;A stack orders all 4 blocks",A stack is an ordering of the 4 blocks.;Thus there are $4!=24$ stacks.
2,"Four different books are placed on two labeled shelves. Each shelf must contain at least one book, and the left-to-right order on each shelf matters. How many arrangements are possible?",72|3×4!|3*4!|(4-1)×4!,120,Y,"Classify by whether the first shelf contains 1, 2, or 3 books;For each shelf-size case, arrange all 4 books;Add the three cases","The first shelf can contain 1, 2, or 3 books, giving three disjoint cases.;Each case has $4!=24$ arrangements, so the total is $3\cdot24=72$."
3,"Four different songs are divided between two labeled playlists. A playlist may be empty, and the order of songs within each playlist matters. How many arrangements are possible?",120|5×4!|5*4!|5!,120,Y,"The first playlist may contain 0, 1, 2, 3, or 4 songs;Each playlist-size case has 4! arrangements","There are five cases according to the number of songs in the first playlist.;Each case has $4!=24$ arrangements, so the total is $5\cdot24=120=5!$."
4,"For four blocks in two nonempty labeled boxes, outcomes are classified by the number of blocks in Box A. How many cases are there?","3|1,2,3",45,Y,Box A cannot be empty;Box B cannot be empty;List the possible sizes of Box A,"Box A can contain 1, 2, or 3 blocks.;Therefore there are 3 cases."
5,"For four blocks in two labeled boxes, fix the number i of blocks in Box A. How many arrangements are in that one case?",24|4!,75,Y,Choose which i blocks go to Box A;Order the blocks in Box A and Box B;The factors simplify,"The count is $C(4,i)i!(4-i)!$.;Since $C(4,i)=4!/(i!(4-i)!)$, the product equals $4!=24$."
6,"Four distinguishable blocks have already been divided between two labeled boxes and stacked, with empty boxes allowed. In how many total positions can a fifth block be inserted?","6|(a+1)+(4-a+1)|4+2",60,Y,"If Box A has a blocks, it has a+1 insertion positions;Box B then has 4-a blocks and 4-a+1 insertion positions;Add the positions in the two boxes","The two stacks contain a total of 4 blocks.;Their insertion positions total $(a+1)+(4-a+1)=6$, so the fifth block has 6 possible positions."
7,"Six different number cards are placed in Row C and Row D. Both rows must be nonempty, and the order within each row matters. How many arrangements are possible?",3600|5×6!|5*6!|(6-1)×6!,120,Y,Row C can contain 1 through 5 cards;There are 5 cases;Each case has 6! arrangements,"There are $6-1=5$ possible nonempty sizes for Row C.;Each size case has $6!=720$ arrangements, so the total is $5\cdot720=3600$."
8,"Five different books are placed on Shelf C and Shelf D. A shelf may be empty, and the order on each shelf matters. How many arrangements are possible?",720|6!|6×5!|6*5!|(5+1)×5!|(5+1)*5!,120,Y,"Shelf C can contain 0 through 5 books;There are 6 cases;Each case has 5! arrangements","Shelf C may contain 0, 1, 2, 3, 4, or 5 books, giving 6 cases.;Each case has $5!=120$ arrangements, so the total is $6\cdot120=720=6!$."
9,"Five different meetings are scheduled among three labeled rooms. Every room must have at least one meeting, and the order of meetings in each room matters. How many schedules are possible? Input C(... ...) and P(... ...) for combination and permutation.","720|C(4 2)×5!|C(4 2)*5!|6×120|6*120",120,Y,"Arrange all 5 talks in one sequence;Choose 2 of the 4 internal gaps for room dividers;Assign the three resulting sections to the labeled rooms in order","The talks can be ordered in $5!=120$ ways.;Choosing 2 of the 4 internal gaps gives $C(4,2)=6$ ways to form three nonempty room schedules.;Thus the total is $120\cdot6=720$."
10,"Six different toys are placed on four labeled shelves. Every shelf must have at least one toy, and the order on each shelf matters. How many arrangements are possible? Input C(... ...) and P(... ...) for combination and permutation.","7200|C(5 3)×6!|C(5 3)*6!|10×720|10*720",150,Y,"Arrange all 6 toys in one row;Choose 3 of the 5 gaps for shelf dividers;The four sections go to the four labeled shelves in order","The toys can be ordered in $6!=720$ ways.;Choosing 3 of the 5 gaps gives $C(5,3)=10$ ways to form four nonempty shelves.;Therefore the total is $720\cdot10=7200$."
