Question ID,Question Choices,Question Answers,Question Time,Hints Allowed,Hints,Solution
1,Use the distribution rule to calculate 7×13.,91|7×13=91|7*13=91,45,Y,Write 13 as 10+3;Use 7(10+3);Add the two products,$7 \times 13 = 7(10+3)=7\cdot10+7\cdot3=70+21=91$.
2,Use the distribution rule to calculate 9×14.,126|9×14=126|9*14=126,45,Y,Write 14 as 10+4;Use 9(10+4);Add 90 and 36,$9 \times 14=9(10+4)=9\cdot10+9\cdot4=90+36=126$.
3,Expand and calculate (5+2)(6+3) using extended distribution.,63|5×6+5×3+2×6+2×3|5*6+5*3+2*6+2*3,60,Y,Multiply each part of the first bracket by each part of the second bracket;There should be four products;Add the four products,$(5+2)(6+3)=5\cdot6+5\cdot3+2\cdot6+2\cdot3$.;This is $30+15+12+6=63$.
4,Expand and calculate (8+4)(7+2) using extended distribution.,108|8×7+8×2+4×7+4×2|8*7+8*2+4*7+4*2,60,Y,"Use the four products ac, ad, bc, and bd;Compute 8×7, 8×2, 4×7, and 4×2;Add the results",$(8+4)(7+2)=8\cdot7+8\cdot2+4\cdot7+4\cdot2$.;This equals $56+16+28+8=108$.
5,A menu has 3 old sandwich choices and 2 new sandwich choices. It also has 4 old drink choices and 1 new drink choice. How many sandwich-drink combos are possible?,25|5×5|3×4+3×1+2×4+2×1|3*4+3*1+2*4+2*1,60,Y,There are 3+2 sandwich choices;There are 4+1 drink choices;You can also classify the combos into four groups,"By the Basic Principle of Counting, there are $(3+2)(4+1)=5\cdot5=25$ combos.;By extended distribution, this is also $3\cdot4+3\cdot1+2\cdot4+2\cdot1=12+3+8+2=25$."
6,"A two-character code has a first character chosen from 4 letters or 3 digits, and a second character chosen from 5 letters or 2 symbols. How many codes are possible?",49|7×7|4×5+4×2+3×5+3×2|4*5+4*2+3*5+3*2,60,Y,There are 4+3 choices for the first character;There are 5+2 choices for the second character;Use extended distribution to check the count,"The first character has $4+3=7$ choices and the second has $5+2=7$ choices.;Thus there are $7\cdot7=49$ codes.;Equivalently, $4\cdot5+4\cdot2+3\cdot5+3\cdot2=20+8+15+6=49$."
7,How many five-letter all-letter codes contain the sequence CAT starting in the first position? There are 26 letters in the alphabet.,676|26^2|26×26|26*26,45,Y,The code must look like CATxx;The last two letters can be anything;Each free letter has 26 choices,A code with CAT in the first position has the form CATxx.;The two x positions can each be any of $26$ letters.;So there are $26^2=676$ such codes.
8,Use extended distribution to calculate (9+6)(8+2).,150|9×8+9×2+6×8+6×2|9*8+9*2+6*8+6*2|15×10|15*10|(9+6)(8+2)=150,60,Y,Multiply each term in the first bracket by each term in the second bracket;There should be four products;Add the four products,$(9+6)(8+2)=9\cdot8+9\cdot2+6\cdot8+6\cdot2$.;This equals $72+18+48+12=150$.
9,How many five-letter all-letter codes contain the sequence CAT starting in the second position? There are 26 letters in the alphabet.,676,60,Y,The code must look like xCATx;Only the first and last letters are free;Each free letter has 26 choices,"A code with CAT starting in the second position has the form xCATx.;The first and last positions can each be any of $26$ letters.;By the Basic Principle of Counting, there are $26\cdot26=676$ such codes."
10,How many six-letter all-letter license plates do not contain the sequence MATH anywhere? There are 26 letters in the alphabet.,"308913748|26^6 - 3×26^2|26^6 - 3*26^2",120,Y,"First count all six-letter plates;MATH can start in positions 1, 2, or 3;For each starting position, 2 other letters are free","There are $26^6$ six-letter all-letter plates in total.;The bad plates have MATH starting in one of three positions: MATHxx, xMATHx, or xxMATH.;Each form has $26^2$ choices, so the number of acceptable plates is $26^6-3\cdot26^2=308,913,748$."
