Question ID,Question Choices,Question Answers,Question Time,Hints Allowed,Hints,Solution,ImageURL
1,A triangle has three equal sides. Each side is 4 cm long. What is the perimeter of the triangle?,12|12 cm|12cm|12 centimeters,100,Y,Perimeter means add all the sides.,12 cm   -> Perimeter means add all the sides = 4 + 4 + 4 = 12 cm,
2,"A rectangle has these side lengths: 4 m, 7 m, 4 m, 7 m. What is the perimeter?",22|22 m|22m|22 meters,100,Y,Perimeter means add all the sides.,22 m    -> Perimeter means add all the sides = 4 + 7 + 4 + 7 = 22,
3,Each sides of a Square is 3 cm long. What is the perimeter of this square?,12|12 cm|12cm|12 centimeters,100,Y,Square has 4 equal sides. ,12 cm   -> Square has 4 equal sides. Perimeter means add all the sides = 3 + 3 + 3 + 3 = 12 cm,
4,A regular pentagon has 5 equal sides. Each side is 2 cm. What is the perimeter?,10|10 cm|10cm|10 centimeters,100,N,,10 cm   ->  Perimeter means add all the sides = 2 cm + 2 cm + 2 cm + 2 cm + 2 cm = 10 cm or 5 x 2 cm = 10 cm,
5,"A triangle has sides: 5 cm, 6 cm, 7 cm. What is the perimeter?",18|18 cm|18cm|18 centimeters,100,N,,18 cm   -> Perimeter means add all the sides = 5 + 6 + 7 = 18 cm,
6,A square has sides of 7 m. What is its perimeter?,28|28 m|28m|28 meters,100,Y,Square has 4 equal sides. ,28 m   -> Square has 4 equal sides. Perimeter means add all the sides = 7m + 7m + 7m + 7m = 28 m or 4 x 7 m = 28 m,
7,"A shape has sides: 13 cm, 5 cm, 26 cm, 7 cm, 18 cm. What is the perimeter?",69|69 cm|69cm|69 centimeters,100,Y,Perimeter means add all the sides.,69 cm   -> Perimeter means add all the sides = 13 + 5 + 26 + 7 + 18 = 69 cm,
8,"A rectangle has: length = 8 cm, width = 4 cm. What is the perimeter?",24|24 m|24m|24 meters,100,Y,A rectangle has 2 lengths and 2 widths,24 cm    -> Rectangle perimeter = Two lengths + two widths = 8 + 8 + 4 + 4 = 24 cm or 2 x 8 cm + 2 x 4 cm = 16 cm + 8 cm = 24 cm,
9,A rhombus has 4 equal sides. Each side is 6 m long. What is the perimeter of the rhombus?,24|24 m|24m|24 meters,100,N,,24 m    -> Perimeter means add all the sides = 6 + 6 + 6 + 6= 24 m or 4 x 6 m = 24 m,
10,Ben walks all the way around a square playground. Each side of the playground is 9 m. How far does Ben walk?,36|36 m|36m|36 meters,100,Y,How far means distance.,36 m     ->  How far means distance = perimeter of the square playground = 9 m x 4 = 36 m or  9m + 9m + 9m + 9m = 36 m,
