Question ID,Question Choices,Question Answers,Question Time,Hints Allowed,Hints,Solution
1,What is the purpose of a line of best fit?,model the trend|represent the overall trend|predict values|model the relationship,70,Y,It summarizes the pattern in the points.|It can be used for estimates.,A line of best fit models the overall linear trend and supports predictions.
2,A trend line is y = 2x + 5. Predict y when x = 4.,13,70,Y,Substitute x = 4.|Compute 2(4) + 5.,The predicted value is 13.
3,A line of best fit is y = -3x + 20. Predict y when x = 5.,5,70,Y,Replace x with 5.|Calculate -15 + 20.,The predicted value is 5.
4,A trend line has slope 4. What does this say about predicted y when x increases by 1?,y increases by 4|predicted y increases by 4|increase of 4,70,Y,Slope is predicted change in y per one unit of x.|The slope is positive.,Predicted y increases by 4 units for each 1-unit increase in x.
5,A line of best fit has y-intercept 12. What is the predicted y-value at x = 0?,12,70,Y,The y-intercept occurs at x = 0.|Read the constant term.,The predicted value is 12.
6,Using a trend line to predict inside the observed x-range is called interpolation or extrapolation?,interpolation|Interpolation,70,Y,The prediction stays between known data values.|Inside the range uses interpolation.,This is interpolation.
7,Using a trend line to predict far beyond the observed x-range is called interpolation or extrapolation?,extrapolation|Extrapolation,70,Y,The prediction goes outside known data.|Outside the range uses extrapolation.,This is extrapolation.
8,Why can extrapolation be unreliable?,the trend may not continue|pattern may change outside the data range|the relationship may change,70,Y,The model is supported only by observed data.|Behavior outside that range may differ.,The observed trend may not continue beyond the data range.
9,"A residual equals observed y minus predicted y. If observed y is 18 and predicted y is 15, find the residual.",3,70,Y,Use residual = observed - predicted.|Compute 18 - 15.,The residual is 3.
10,A good line of best fit should have roughly how many data points above and below it?,about the same number|roughly equal numbers|an equal number|half above and half below,70,Y,The line should pass through the middle of the pattern.|Balance the residuals on both sides.,A reasonable fit usually has roughly equal numbers of points above and below it.
