Question ID,Question Choices,Question Answers,Question Time,Hints Allowed,Hints,Solution
1,"Ten students are divided into labeled teams A, B, and C of sizes 4, 3, and 3. How many different divisions are possible?",4200|C(10 4)×C(6 3)|C(10 4)*C(6 3),90,Y,Choose 4 students for team A;Then choose 3 of the remaining 6 for team B;The remaining 3 form team C,"There are $C(10,4)$ ways to choose team A and then $C(6,3)$ ways to choose team B.;Team C is determined.;Thus the total is $C(10,4)C(6,3)=210\cdot20=4200$."
2,"Eleven students are divided into labeled teams A, B, and C of sizes 2, 4, and 5. How many different divisions are possible?",6930|C(11 2)×C(9 4)|C(11 2)*C(9 4),90,Y,Choose 2 students for team A;Choose 4 of the remaining 9 for team B;The final 5 form team C,"The division count is $C(11,2)C(9,4)$.;Since $C(11,2)=55$ and $C(9,4)=126$, the total is $55\cdot126=6930$."
3,"Twelve students are divided into labeled teams A, B, and C of sizes 3, 4, and 5. What is the probability that Nora and Sam are on the same team?",19/66|0.2878787879,150,Y,"Classify by whether both students are on A, B, or C;Count each case with combinations;Divide the favorable count by C(12,3)C(9,4)","There are $C(12,3)C(9,4)=27720$ total divisions.;The favorable count is $C(10,1)C(9,4)+C(10,3)C(7,2)+C(10,3)C(7,4)=7980$.;Thus the probability is $7980/27720=19/66$."
4,Nine students are divided into three labeled teams of size 3. What is the probability that two specified students are on the same team?,1/4|0.25|25%,120,Y,"After placing the first student, 8 positions remain;Exactly 2 positions are on that student's team;Use 2/8","Once the first specified student is placed, $2$ of the remaining $8$ team positions are beside that student.;Therefore the probability is $2/8=1/4$."
5,"There is a 50% chance that a queen carries a gene. If she is a carrier, each of her three children independently has a 50% chance of having the associated condition; if she is not a carrier, none can have it. Given that none of the three children has the condition, what is the probability that the queen is a carrier?",1/9|0.1111111111,150,Y,"Consider separately the cases that the queen is or is not a carrier;If she is a carrier, the probability that none of three children has the condition is (1/2)^3;Use conditional probability with the two possible cases in the denominator","Let $Q$ be the event that the queen is a carrier and $N$ the event that no child has the condition.;Then $P(N\mid Q)=1/8$, $P(N\mid Q^c)=1$, and $P(Q)=P(Q^c)=1/2$.;Thus $P(Q\mid N)=[(1/8)(1/2)]/[(1/8)(1/2)+(1)(1/2)]=1/9$."
6,"Fourteen students are divided into labeled teams A, B, and C of sizes 4, 4, and 6. What is the probability that two specified students are on different teams?",64/91|0.7032967033,150,Y,First find the probability that the two students are on the same team;Use the three team sizes to count same-team position pairs;Subtract from 1,"The same-team probability is $[C(4,2)+C(4,2)+C(6,2)]/C(14,2)=(6+6+15)/91=27/91$.;Therefore the different-team probability is $1-27/91=64/91$."
7,"Twelve students are divided into labeled teams A, B, and C of sizes 3, 4, and 5. How many divisions place Hana and Ravi together on team A and Sofia on team B?",504|9×C(8 3)|9*C(8 3),150,Y,"Hana and Ravi already occupy two places on team A;Choose the third A member from 9 students other than Sofia;With Sofia fixed on B, choose the other 3 B members from the remaining 8","Choose the third member of team A in $9$ ways.;Then, with Sofia already on team B, choose her $3$ teammates in $C(8,3)=56$ ways.;The total is $9C(8,3)=9\cdot56=504$."
8,"Thirteen students are divided into labeled teams A, B, and C of sizes 5, 4, and 4. How many divisions place Maya and Leo together on team A?",11550|C(11 3)×C(8 4)|C(11 3)*C(8 4),150,Y,Choose 3 more students to join Maya and Leo on team A;Then choose 4 of the remaining 8 for team B;Team C is determined,"With Maya and Leo fixed on team A, choose the other $3$ A members in $C(11,3)$ ways.;Then choose team B in $C(8,4)$ ways.;The total is $C(11,3)C(8,4)=165\cdot70=11550$."
9,"Twelve students are divided into labeled teams A, B, and C of sizes 3, 4, and 5. What is the probability that two specified students are both on team C?",5/33|20/132|0.1515151515,90,Y,"The first student is on team C with probability 5/12;Given that, the second is on C with probability 4/11;Multiply","By the multiplication rule, the probability is $(5/12)(4/11)=20/132=5/33$."
10,"Four fair four-sided dice are rolled. What is the probability that exactly three distinct numbers appear, given that at least three distinct numbers appear?",6/7|0.8571428571,150,Y,"Count outcomes with exactly four distinct numbers;For exactly three distinct numbers, choose the three values and which value repeats;Arrange the resulting four values, then condition on the two possible cases","Exactly four distinct numbers can occur in $4!=24$ ways.;Exactly three distinct numbers can occur in $C(4,3)\cdot3\cdot(4!/2!)=144$ ways.;Conditioning on at least three distinct numbers gives $144/(144+24)=6/7$."
