Question ID,Question Choices,Question Answers,Question Time,Hints Allowed,Hints,Solution,ImageURL
1,Find 17 + 25 (mod 6),0,60,No,,17 + 25 = 42. 42 ÷ 6 = 7 with a remainder of 0.,
2,Find 8 − 15 (mod 4),1,60,No,,8 − 15 = −7. Add the modulus until positive: −7 + 4 = −3; −3 + 4 = 1.,
3,Find 12 × 23 (mod 7),3,60,Yes,Can reduce each factor by multiples of 7.,12 ≡ 5 (mod 7) and 23 ≡ 2 (mod 7). 5 × 2 = 10. 10 = (7 × 1) + 3.,
4,Find 3^4 (mod 5),1,60,No,,3^4 = 81. 81 = (5 × 16) + 1.,
5,Find 102 + 397 (mod 10),9,60,Yes,Simplify each term mod 10 before adding.,102 ≡ 2 (mod 10) and 397 ≡ 7 (mod 10). 2 + 7 = 9.,
6,Find −12 (mod 9),6,60,No,,−12 = 9(−2) + 6. So −12 ≡ 6 (mod 9).,
7,Find the value of x such that 3x ≡ 1 (mod 7),5,60,No,,Test values: 3(5) = 15 ≡ 1 (mod 7).,
8,Find 2^100 (mod 3),1,60,No,,2^0 ≡ 1; 2^1 ≡ 2; 2^2 ≡ 1; 2^3 ≡ 2 (mod 3). Any even power of 2 is ≡ 1 (mod 3). Since 100 is even the answer is 1.,
9,"If a ≡ 3 (mod 5), what is a^2 + 2a (mod 5)?",0,60,No,,Substitute a = 3: 3^2 + 2(3) = 9 + 6 = 15. 15 ÷ 5 = 3 remainder 0.,
10,Find (22 × 23 + 24 × 25 + 26 × 27) (mod 5),3,60,No,,22×23 ≡ 2×3 = 1 (mod 5); 24×25 ≡ 4×0 = 0 (mod 5); 26×27 ≡ 1×2 = 2 (mod 5). Sum: 1 + 0 + 2 = 3.,
